tag,task,metric,value,stderr,n,at_chance
gaiel-1.5b,haerae,acc,0.2878,0.0136,1091,no
gaiel-1.5b,haerae_general_knowledge,acc,0.2955,0.0345,176,no
gaiel-1.5b,haerae_history,acc,0.1915,0.0288,188,no
gaiel-1.5b,haerae_loan_word,acc,0.2544,0.0336,169,no
gaiel-1.5b,haerae_rare_word,acc,0.3432,0.0236,405,no
gaiel-1.5b,haerae_standard_nomenclature,acc,0.2876,0.0367,153,no
gaiel-1.5b,kobest_boolq,acc,0.5064,0.0133,1404,yes
gaiel-1.5b,kobest_copa,acc,0.5560,0.0157,1000,no
gaiel-1.5b,kobest_hellaswag,acc,0.3420,0.0212,500,no
gaiel-1.5b,kobest_sentineg,acc,0.5113,0.0251,397,yes
gaiel-1.5b,kobest_wic,acc,0.4889,0.0141,1260,yes
